"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"390","MS",2014,130.2,78.8,NA,42969.8,8543.1,7039.5,24
"391","MT",2014,2180.5,1319.2,8.24260502112851,17011.9,18271.1,27859.7,0
"392","PA",2014,0,0,15.6956819739548,810.5,565.4,719.1,0
"393","PB",2014,0.3,0.2,NA,6307.9,95.6,0,0
"394","PE",2014,0.1,0,NA,14730.6,93.1,0,0
"395","PI",2014,53.2,32.2,NA,949.1,1249.5,1858.7,0
"396","PR",2014,2,1.2,16.7994947520375,43105.6,14633.5,16995.3,3792
"397","RJ",2014,0,0,22.866306813737,1586.4,6.5,0,0
"398","RN",2014,1.8,1.1,NA,2688.8,29.9,0,0
"399","RO",2014,0,0,17.1766545742059,371.6,356.4,730.7,0
"400","RR",2014,0,0,NA,0,7.6,50.4,0
"401","RS",2014,0,0,NA,73.4,5928.3,14688.3,1516.2
"402","SC",2014,0,0,NA,0,3185.4,1896.3,222.5
"403","SE",2014,0,0,NA,2376.4,1058.2,0,0
